Generation, Weighted Random, GP1, GP2, GP3
1,28,23,21,27
2,28,19,23,28
3,39,33,14,14
4,36,24,30,10
5,36,21,22,21
6,38,23,24,15
7,28,20,21,31
8,37,24,14,25
9,36,25,18,21
10,39,19,28,14
11,35,21,26,18
12,36,28,19,16
13,33,26,17,24
14,24,23,25,28
15,36,19,27,18
16,31,19,22,28
17,42,22,19,17
18,33,19,24,24
19,38,26,17,19
20,44,13,8,35
21,37,17,30,16
22,35,22,20,23
23,38,20,24,18
24,44,21,11,24
25,42,12,34,12
26,33,25,27,15
27,37,19,24,20
28,36,25,18,21
29,42,18,26,14
30,28,28,16,26
31,35,26,25,14
32,35,24,21,20
33,36,27,20,17
34,25,22,25,28
35,32,22,21,25
36,44,18,23,15
37,32,30,24,14
38,33,24,23,20
39,37,20,25,18
40,38,27,15,20
41,39,27,16,18
42,32,27,17,24
43,33,11,24,32
44,36,23,22,19
45,36,23,20,21
46,30,24,19,27
47,38,22,18,22
48,36,24,18,22
49,40,22,12,26
50,28,23,26,23
