Generation,Weighted Random, GP1, GP2, GP3
1,28,24,25,22
2,25,19,30,26
3,34,26,17,23
4,41,24,11,24
5,23,27,23,27
6,30,23,25,22
7,39,20,19,22
8,33,13,25,28
9,38,21,23,18
10,39,25,20,16
11,44,10,17,28
12,30,26,20,24
13,35,19,25,21
14,36,24,17,23
15,22,19,32,27
16,30,24,27,19
17,32,28,16,23
18,40,19,18,23
19,28,36,16,19
20,37,23,19,21
21,30,25,22,23
22,34,22,13,31
23,30,13,27,30
24,24,19,31,26
25,30,25,15,30
26,40,18,18,24
27,35,28,15,22
28,45,21,19,15
29,27,28,22,23
30,28,23,24,25
31,37,22,21,20
32,28,16,25,30
33,44,16,18,22
34,27,27,18,28
35,28,24,26,21
36,28,19,28,23
37,42,22,13,23
38,34,22,22,21
39,34,20,23,23
40,28,19,31,21
41,27,27,24,22
42,33,16,27,24
43,31,20,32,17
44,28,25,19,27
45,35,22,21,22
46,42,20,16,22
47,31,21,27,21
48,38,21,17,24
49,35,25,19,21
50,38,21,19,22
